latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
39.86419,26.24288,313.21,0.39,0.36,2021-08-01,5,N,VIIRS,n,2,297.24,1.73,N,2
39.86749,26.2437,314.48,0.39,0.36,2021-08-01,5,N,VIIRS,n,2,297.26,1.68,N,2
40.28403,23.44441,307.95,0.45,0.39,2021-08-01,5,N,VIIRS,n,2,296.16,1.29,N,2
40.28503,23.4458,306.94,0.45,0.39,2021-08-01,5,N,VIIRS,n,2,296.21,1.36,N,2
40.36954,19.5245,343.93,0.45,0.47,2021-08-01,5,N,VIIRS,n,2,300.27,6.95,N,0
40.44395,27.13415,306.86,0.38,0.36,2021-08-01,5,N,VIIRS,n,2,295.18,2.11,N,2
41.01952,28.55286,312.64,0.39,0.36,2021-08-01,5,N,VIIRS,n,2,294.57,1.4,N,2
41.02205,28.55841,307.52,0.39,0.36,2021-08-01,5,N,VIIRS,n,2,295.05,1.4,N,2
41.1493,19.76293,309.96,0.44,0.46,2021-08-01,5,N,VIIRS,n,2,295.95,2.26,N,0
41.41959,21.93302,305.37,0.53,0.42,2021-08-01,5,N,VIIRS,n,2,295.16,1.18,N,2
41.4434,21.93874,338.34,0.53,0.42,2021-08-01,5,N,VIIRS,n,2,297.93,12.4,N,2
41.44726,21.93952,320.48,0.53,0.42,2021-08-01,5,N,VIIRS,n,2,295.19,12.4,N,2
36.71969,28.19271,311.76,0.41,0.37,2021-08-01,6,N,VIIRS,n,2,300.05,1.18,N,0
36.7198,28.21227,315.1,0.41,0.37,2021-08-01,6,N,VIIRS,n,2,302.01,2.63,N,0
36.72062,28.20757,336.02,0.41,0.37,2021-08-01,6,N,VIIRS,n,2,303.69,2.63,N,0
36.72317,28.21313,327.32,0.41,0.37,2021-08-01,6,N,VIIRS,n,2,303.91,1.87,N,0
36.72399,28.20841,317.08,0.41,0.37,2021-08-01,6,N,VIIRS,n,2,302.79,1.87,N,0
36.72676,28.23288,345.09,0.41,0.37,2021-08-01,6,N,VIIRS,n,2,307.27,12.15,N,0
36.72758,28.22823,316.72,0.41,0.37,2021-08-01,6,N,VIIRS,n,2,303.7,12.15,N,0
36.72934,28.23831,315.73,0.41,0.37,2021-08-01,6,N,VIIRS,n,2,303.08,3.69,N,0
36.73016,28.23361,356.18,0.41,0.37,2021-08-01,6,N,VIIRS,n,2,315.08,12.15,N,0
36.73096,28.22898,342.27,0.41,0.37,2021-08-01,6,N,VIIRS,n,2,306.73,12.15,N,0
36.73175,28.22449,314.7,0.41,0.37,2021-08-01,6,N,VIIRS,n,2,303.43,2.83,N,0
36.73331,28.2155,317.52,0.41,0.37,2021-08-01,6,N,VIIRS,n,2,302.45,2.36,N,0
36.73513,28.22527,315.89,0.41,0.37,2021-08-01,6,N,VIIRS,n,2,300.9,2.6,N,0
36.73591,28.22081,344.32,0.41,0.37,2021-08-01,6,N,VIIRS,n,2,304.84,2.6,N,0
36.73669,28.21632,332.71,0.41,0.37,2021-08-01,6,N,VIIRS,n,2,303.05,3.34,N,0
36.73929,28.2216,313.04,0.41,0.37,2021-08-01,6,N,VIIRS,n,2,299.62,2.6,N,0
36.74289,28.24135,333.16,0.41,0.37,2021-08-01,6,N,VIIRS,n,2,300.07,3.13,N,0
36.74298,28.23948,334.53,0.41,0.37,2021-08-01,6,N,VIIRS,n,2,301.12,12,N,0
36.7434,28.15757,322.57,0.4,0.37,2021-08-01,6,N,VIIRS,n,2,300.81,2.14,N,0
36.7437,28.23664,342.5,0.41,0.37,2021-08-01,6,N,VIIRS,n,2,304.11,6.83,N,0
36.7438,28.23488,340.44,0.41,0.37,2021-08-01,6,N,VIIRS,n,2,304,3.92,N,0
36.74417,28.15317,337.64,0.4,0.37,2021-08-01,6,N,VIIRS,n,2,303.3,3.9,N,0
36.74495,28.14871,333.36,0.4,0.37,2021-08-01,6,N,VIIRS,n,2,302.23,3.9,N,0
36.74601,28.16284,314.24,0.41,0.37,2021-08-01,6,N,VIIRS,n,2,302.1,2.79,N,0
36.74636,28.24033,344.09,0.41,0.37,2021-08-01,6,N,VIIRS,n,2,306.32,12,N,0
36.74676,28.15854,337.62,0.4,0.37,2021-08-01,6,N,VIIRS,n,2,302.13,2.79,N,0
36.74717,28.23573,314.97,0.41,0.37,2021-08-01,6,N,VIIRS,n,2,302.48,3.92,N,0
36.74752,28.15417,326.98,0.4,0.37,2021-08-01,6,N,VIIRS,n,2,300.91,1.59,N,0
36.74969,28.24136,340.53,0.41,0.37,2021-08-01,6,N,VIIRS,n,2,312.27,24.67,N,0
36.75052,28.23671,323.17,0.41,0.37,2021-08-01,6,N,VIIRS,n,2,303.34,3.95,N,0
36.75385,28.23777,334.01,0.41,0.37,2021-08-01,6,N,VIIRS,n,2,303.67,3.95,N,0
