latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.2797,19.4723,310,1,1,2021-08-01,51,Aqua,MODIS,73,6.03,297.2,8.4,N,0
40.2817,19.46,309.9,1,1,2021-08-01,51,Aqua,MODIS,75,6.03,296.7,8.3,N,0
40.3736,19.5272,309.5,1,1,2021-08-01,51,Aqua,MODIS,78,6.03,296.1,8.3,N,0
41.4209,21.9398,305.1,1.2,1.1,2021-08-01,51,Aqua,MODIS,63,6.03,294.7,6.9,N,2
41.4498,21.9491,309.3,1.2,1.1,2021-08-01,51,Aqua,MODIS,77,6.03,294.6,10.6,N,2
36.7219,28.258,322.4,3.6,1.8,2021-08-01,52,Aqua,MODIS,100,6.03,298.9,114.6,N,3
36.7302,28.2516,325.3,3.6,1.8,2021-08-01,52,Aqua,MODIS,100,6.03,299.7,134.8,N,3
36.7585,28.1795,334.9,3.6,1.8,2021-08-01,52,Aqua,MODIS,100,6.03,299.3,191.4,N,0
36.7658,28.1749,341.6,3.6,1.8,2021-08-01,52,Aqua,MODIS,100,6.03,299.7,263.3,N,0
36.7736,28.1857,308.4,3.6,1.8,2021-08-01,52,Aqua,MODIS,11,6.03,298.1,31.9,N,0
36.7822,28.1516,310.2,3.5,1.8,2021-08-01,52,Aqua,MODIS,50,6.03,298.4,37.2,N,0
37.0146,27.7294,314.6,3.3,1.7,2021-08-01,52,Aqua,MODIS,86,6.03,300.4,51.7,N,0
37.0209,27.7698,337.2,3.3,1.7,2021-08-01,52,Aqua,MODIS,100,6.03,303.9,197.1,N,0
37.0233,27.6936,313.4,3.3,1.7,2021-08-01,52,Aqua,MODIS,82,6.03,300.1,47.7,N,0
37.03,27.7323,400.5,3.3,1.7,2021-08-01,52,Aqua,MODIS,100,6.03,312.5,1413.9,N,0
37.0316,27.7801,311.1,3.3,1.7,2021-08-01,52,Aqua,MODIS,82,6.03,300.4,38.4,N,0
37.0366,27.7719,322.8,3.3,1.7,2021-08-01,52,Aqua,MODIS,100,6.03,300.9,96.1,N,0
37.0384,27.6977,403.7,3.3,1.7,2021-08-01,52,Aqua,MODIS,100,6.03,306.8,1519.5,N,0
37.0411,27.7417,370.1,3.3,1.7,2021-08-01,52,Aqua,MODIS,100,6.03,306.2,634.9,N,0
37.0454,27.7351,374,3.3,1.7,2021-08-01,52,Aqua,MODIS,100,6.03,305.8,708.4,N,0
37.0475,27.781,313.7,3.3,1.7,2021-08-01,52,Aqua,MODIS,88,6.03,299.3,49.3,N,0
37.0494,27.7083,381.7,3.3,1.7,2021-08-01,52,Aqua,MODIS,100,6.03,305.9,877.6,N,0
37.0521,27.7742,314.1,3.3,1.7,2021-08-01,52,Aqua,MODIS,62,6.03,299.1,48.2,N,0
37.0533,27.7028,362.7,3.3,1.7,2021-08-01,52,Aqua,MODIS,100,6.03,301.1,502.2,N,0
37.0567,27.744,325.6,3.3,1.7,2021-08-01,52,Aqua,MODIS,100,6.03,301,113.4,N,0
37.0606,27.739,317.8,3.3,1.7,2021-08-01,52,Aqua,MODIS,94,6.03,300.5,68.7,N,0
37.0643,27.713,325.8,3.3,1.7,2021-08-01,52,Aqua,MODIS,100,6.03,298.9,117.9,N,0
37.0709,27.7516,312.1,3.3,1.7,2021-08-01,52,Aqua,MODIS,84,6.03,299.1,47.2,N,0
37.0748,27.7469,309.3,3.3,1.7,2021-08-01,52,Aqua,MODIS,47,6.03,298.7,33.1,N,0
38.3084,21.9719,347.8,1.4,1.2,2021-08-01,52,Aqua,MODIS,100,6.03,299.1,89.6,N,0
38.3108,21.9832,321.4,1.4,1.2,2021-08-01,52,Aqua,MODIS,100,6.03,298.3,27.2,N,0
38.3116,21.9553,315.2,1.4,1.2,2021-08-01,52,Aqua,MODIS,90,6.03,298,17.4,N,0
38.3139,21.9667,338.3,1.4,1.2,2021-08-01,52,Aqua,MODIS,100,6.03,299.5,61.8,N,0
36.7269,28.2337,339.5,1.6,1.2,2021-08-01,836,Terra,MODIS,0,6.03,312.4,45.8,D,0
36.7381,28.2426,330.7,1.6,1.2,2021-08-01,836,Terra,MODIS,50,6.03,312,25.8,D,0
36.7398,28.2256,328.6,1.6,1.2,2021-08-01,836,Terra,MODIS,52,6.03,312.3,19,D,0
36.7492,28.2444,330.7,1.6,1.2,2021-08-01,836,Terra,MODIS,13,6.03,311.6,23.6,D,0
36.758,28.1533,331.2,1.6,1.2,2021-08-01,836,Terra,MODIS,65,6.03,311.5,26.3,D,0
36.7802,28.1583,341.3,1.6,1.2,2021-08-01,836,Terra,MODIS,64,6.03,314.2,46.2,D,0
36.8028,28.1594,366.1,1.6,1.2,2021-08-01,836,Terra,MODIS,94,6.03,319.9,163.5,D,0
36.8046,28.1408,369.1,1.6,1.2,2021-08-01,836,Terra,MODIS,75,6.03,317.3,184.8,D,0
36.8139,28.1614,336.1,1.6,1.2,2021-08-01,836,Terra,MODIS,73,6.03,317.6,34.4,D,2
37.0021,28.7772,325.2,1.5,1.2,2021-08-01,836,Terra,MODIS,40,6.03,310.1,18.1,D,0
37.0028,27.7313,404.6,1.7,1.3,2021-08-01,836,Terra,MODIS,87,6.03,305.6,606.2,D,3
37.0039,28.7601,324.3,1.5,1.2,2021-08-01,836,Terra,MODIS,30,6.03,309.6,15,D,0
37.0046,27.7128,422.4,1.7,1.3,2021-08-01,836,Terra,MODIS,87,6.03,313.4,903.7,D,3
37.0125,27.7527,344.4,1.7,1.3,2021-08-01,836,Terra,MODIS,68,6.03,308.4,71.8,D,0
37.0129,28.7786,323.6,1.5,1.2,2021-08-01,836,Terra,MODIS,27,6.03,310,16.2,D,0
37.0142,27.7343,401.4,1.7,1.3,2021-08-01,836,Terra,MODIS,75,6.03,310.6,530.4,D,0
37.0146,28.7623,323.6,1.5,1.2,2021-08-01,836,Terra,MODIS,24,6.03,307.5,15.3,D,0
37.016,27.7154,365.6,1.7,1.3,2021-08-01,836,Terra,MODIS,75,6.03,307.5,183.6,D,0
37.0178,27.6959,349.3,1.7,1.3,2021-08-01,836,Terra,MODIS,81,6.03,310.2,97.9,D,0
37.0196,27.6774,325.2,1.7,1.3,2021-08-01,836,Terra,MODIS,42,6.03,310.5,16.4,D,0
37.0238,27.7559,361,1.7,1.3,2021-08-01,836,Terra,MODIS,100,6.03,311.8,154.2,D,0
37.0274,27.7185,350.5,1.7,1.3,2021-08-01,836,Terra,MODIS,94,6.03,306.7,99.5,D,0
37.0293,27.6989,356.7,1.7,1.3,2021-08-01,836,Terra,MODIS,98,6.03,315.3,132.2,D,0
37.0352,27.7591,333.7,1.7,1.3,2021-08-01,836,Terra,MODIS,40,6.03,307.9,31.3,D,0
37.0389,27.7206,369.9,1.7,1.3,2021-08-01,836,Terra,MODIS,100,6.03,309.4,210.8,D,0
37.0408,27.7005,344.1,1.7,1.3,2021-08-01,836,Terra,MODIS,82,6.03,314.9,71,D,0
37.0452,27.7496,351.7,1.7,1.3,2021-08-01,836,Terra,MODIS,95,6.03,306.4,103.4,D,0
37.0465,27.7623,366.5,1.7,1.3,2021-08-01,836,Terra,MODIS,100,6.03,308.5,187.4,D,0
37.0484,27.7434,364.4,1.7,1.3,2021-08-01,836,Terra,MODIS,100,6.03,307.9,174.7,D,0
37.0488,27.7094,336.5,1.7,1.3,2021-08-01,836,Terra,MODIS,65,6.03,314.9,45.2,D,0
37.0514,27.8091,323.4,1.7,1.3,2021-08-01,836,Terra,MODIS,41,6.03,308.1,12.2,D,0
37.0549,27.7713,390.9,1.7,1.3,2021-08-01,836,Terra,MODIS,100,6.03,310.7,404,D,0
37.0565,27.7528,475.1,1.7,1.3,2021-08-01,836,Terra,MODIS,100,6.03,328,2355.2,D,0
37.0579,27.765,436.5,1.7,1.3,2021-08-01,836,Terra,MODIS,100,6.03,322,1165.2,D,0
37.0584,27.7324,343.1,1.7,1.3,2021-08-01,836,Terra,MODIS,81,6.03,310.9,63.8,D,0
37.0598,27.7458,436.7,1.7,1.3,2021-08-01,836,Terra,MODIS,100,6.03,328.4,1174,D,0
37.0664,27.7728,361.2,1.7,1.3,2021-08-01,836,Terra,MODIS,100,6.03,310.8,158.2,D,0
37.0682,27.7529,431.7,1.7,1.3,2021-08-01,836,Terra,MODIS,100,6.03,331.2,1060.7,D,0
37.0701,27.7321,343.1,1.7,1.3,2021-08-01,836,Terra,MODIS,84,6.03,313.9,64.6,D,0
37.0798,27.7539,365.6,1.7,1.3,2021-08-01,836,Terra,MODIS,100,6.03,312.2,185.3,D,0
37.0817,27.7332,360.9,1.7,1.3,2021-08-01,836,Terra,MODIS,100,6.03,314.9,154.4,D,0
37.0952,27.7139,339.8,1.7,1.3,2021-08-01,836,Terra,MODIS,86,6.03,317.9,52.7,D,0
37.097,27.694,331.1,1.7,1.3,2021-08-01,836,Terra,MODIS,54,6.03,315.5,24.1,D,0
40.3665,19.5313,335,2.5,1.5,2021-08-01,1013,Terra,MODIS,84,6.03,306.1,82.2,D,0
40.3722,19.5273,335.3,2.5,1.5,2021-08-01,1013,Terra,MODIS,84,6.03,306,84.4,D,0
41.2506,22.5464,327.6,3.4,1.7,2021-08-01,1013,Terra,MODIS,78,6.03,305,81.5,D,0
41.256,22.543,328.1,3.4,1.7,2021-08-01,1013,Terra,MODIS,78,6.03,305.1,84.8,D,0
41.2604,22.5093,325.4,3.4,1.7,2021-08-01,1013,Terra,MODIS,75,6.03,306.4,64.9,D,0
41.2655,22.5059,322.4,3.4,1.7,2021-08-01,1013,Terra,MODIS,65,6.03,306.3,45.7,D,0
