latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
39.25903,27.73711,318.48,0.53,0.42,2021-08-16,24,N,VIIRS,n,2,290.73,1.96,N,0
40.44468,27.13949,322.98,0.48,0.4,2021-08-16,24,N,VIIRS,n,2,295.28,1.57,N,2
40.44577,27.13402,307.27,0.48,0.4,2021-08-16,24,N,VIIRS,n,2,294.95,1.57,N,2
41.02122,28.55778,315.23,0.53,0.42,2021-08-16,24,N,VIIRS,n,2,293.07,1.98,N,2
41.04222,20.36642,302.49,0.41,0.37,2021-08-16,24,N,VIIRS,n,2,288.36,0.75,N,0
41.05497,20.34994,300.37,0.41,0.37,2021-08-16,24,N,VIIRS,n,2,286.05,0.47,N,0
41.42103,21.93373,311.47,0.39,0.36,2021-08-16,24,N,VIIRS,n,2,293.11,0.9,N,2
41.43686,21.94267,305.72,0.39,0.36,2021-08-16,24,N,VIIRS,n,2,291.75,0.88,N,2
41.44017,21.94354,308.47,0.39,0.36,2021-08-16,24,N,VIIRS,n,2,293.54,0.88,N,2
41.44416,21.9398,327.41,0.39,0.36,2021-08-16,24,N,VIIRS,n,2,300.54,23.82,N,2
41.44484,21.93517,300.27,0.39,0.36,2021-08-16,24,N,VIIRS,n,2,289.89,23.82,N,2
37.91768,23.07061,308.11,0.39,0.36,2021-08-16,25,N,VIIRS,n,2,298,1.69,N,2
38.12943,23.52283,317.42,0.4,0.37,2021-08-16,25,N,VIIRS,n,2,293.53,0.98,N,2
38.37365,24.06218,310.3,0.41,0.37,2021-08-16,25,N,VIIRS,n,2,295.67,1.22,N,2
38.42742,27.21871,310.92,0.52,0.42,2021-08-16,25,N,VIIRS,n,2,295.93,1.47,N,2
38.73574,26.94266,306.86,0.5,0.41,2021-08-16,25,N,VIIRS,n,2,296.51,2.18,N,2
38.74193,26.95087,320.95,0.5,0.41,2021-08-16,25,N,VIIRS,n,2,295.71,1.86,N,2
