latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
41.01912,28.55699,304.51,0.63,0.72,2021-08-11,107,N20,VIIRS,n,2,287.37,2.35,N,2
41.01922,28.55787,303.06,0.63,0.72,2021-08-11,107,N20,VIIRS,n,2,287.28,1.12,N,2
41.02159,28.5505,300.68,0.63,0.72,2021-08-11,107,N20,VIIRS,n,2,286.6,1.12,N,2
38.73593,26.9456,306.99,0.61,0.71,2021-08-11,108,N20,VIIRS,n,2,292.36,1.91,N,2
38.74201,26.94878,309.03,0.61,0.71,2021-08-11,108,N20,VIIRS,n,2,292.46,1.91,N,2
38.7562,26.94862,306.1,0.61,0.71,2021-08-11,108,N20,VIIRS,n,2,290.04,2.02,N,2
38.95346,23.21203,317.04,0.39,0.59,2021-08-11,108,N20,VIIRS,n,2,293.06,2.37,N,0
38.95462,23.20776,323.78,0.39,0.59,2021-08-11,108,N20,VIIRS,n,2,291.82,2.37,N,0
39.02497,23.3209,314.26,0.39,0.6,2021-08-11,108,N20,VIIRS,n,2,294.59,3.48,N,0
39.02626,23.31613,307.06,0.39,0.6,2021-08-11,108,N20,VIIRS,n,2,292.94,3.48,N,0
39.0299,23.32421,315.02,0.39,0.6,2021-08-11,108,N20,VIIRS,n,2,294.38,3.48,N,0
39.03117,23.31953,354.81,0.39,0.6,2021-08-11,108,N20,VIIRS,n,2,299.29,3.48,N,0
39.03238,23.31506,324.37,0.39,0.6,2021-08-11,108,N20,VIIRS,n,2,295.56,4.26,N,0
39.03354,23.31082,324.86,0.39,0.59,2021-08-11,108,N20,VIIRS,n,2,293.94,4.26,N,0
39.03607,23.32294,317.16,0.39,0.6,2021-08-11,108,N20,VIIRS,n,2,294.04,3.07,N,0
39.03734,23.31826,318.55,0.39,0.6,2021-08-11,108,N20,VIIRS,n,2,293.98,1.9,N,0
39.03851,23.31394,307.18,0.39,0.59,2021-08-11,108,N20,VIIRS,n,2,293.35,1.9,N,3
39.25849,27.7332,304.8,0.65,0.73,2021-08-11,108,N20,VIIRS,n,2,289.1,0.7,N,0
39.35244,22.98431,304.31,0.37,0.58,2021-08-11,108,N20,VIIRS,n,2,289.2,0.4,N,0
40.151,19.86107,307.13,0.49,0.49,2021-08-11,108,N20,VIIRS,n,2,293.04,2.28,N,0
40.15223,19.85583,306.98,0.49,0.49,2021-08-11,108,N20,VIIRS,n,2,292.28,1.5,N,0
40.15335,19.87104,304.46,0.49,0.49,2021-08-11,108,N20,VIIRS,n,2,292.25,1.24,N,0
40.25705,19.51091,305.74,0.47,0.48,2021-08-11,108,N20,VIIRS,n,2,292.86,9.06,N,0
40.25853,19.5175,310.12,0.47,0.48,2021-08-11,108,N20,VIIRS,n,2,293.23,6.02,N,0
40.25991,19.51144,352.75,0.47,0.48,2021-08-11,108,N20,VIIRS,n,2,300.9,23.84,N,0
40.2606,19.51533,337.29,0.47,0.48,2021-08-11,108,N20,VIIRS,n,2,300.51,9.06,N,0
40.26195,19.50961,339.12,0.47,0.48,2021-08-11,108,N20,VIIRS,n,2,294.63,13.79,N,0
41.0874,20.00497,309.45,0.47,0.48,2021-08-11,108,N20,VIIRS,n,2,292.54,1.1,N,0
41.276,21.48015,302.89,0.55,0.51,2021-08-11,108,N20,VIIRS,n,2,288.78,1.75,N,0
41.44581,21.94283,333.11,0.58,0.52,2021-08-11,108,N20,VIIRS,n,2,282.01,5.42,N,2
41.44611,21.94411,312.35,0.58,0.52,2021-08-11,108,N20,VIIRS,n,2,279.88,2.06,N,2
41.44774,21.93776,311.47,0.58,0.52,2021-08-11,108,N20,VIIRS,n,2,279.83,2.55,N,2
36.81046,22.42714,304.58,0.4,0.6,2021-08-11,109,N20,VIIRS,n,2,292.86,0.6,N,0
37.63712,21.88427,316.51,0.36,0.57,2021-08-11,109,N20,VIIRS,n,2,293.38,1.2,N,0
37.63806,21.88063,306.46,0.36,0.57,2021-08-11,109,N20,VIIRS,n,2,292.76,1.2,N,0
37.63973,21.8312,311.61,0.36,0.57,2021-08-11,109,N20,VIIRS,n,2,293.67,1.68,N,0
37.64086,21.82683,309.46,0.36,0.57,2021-08-11,109,N20,VIIRS,n,2,293.59,2.07,N,0
37.66526,21.82302,303.93,0.36,0.57,2021-08-11,109,N20,VIIRS,n,2,293.18,0.73,N,0
37.7273,21.67135,304.33,0.35,0.57,2021-08-11,109,N20,VIIRS,n,2,292.93,1.16,N,0
37.73192,21.82322,302.89,0.36,0.57,2021-08-11,109,N20,VIIRS,n,2,292.59,0.49,N,0
37.34075,22.05406,333.61,0.6,0.53,2021-08-11,1050,N20,VIIRS,l,2,303.65,4.91,D,0
37.65249,21.83151,345.45,0.61,0.53,2021-08-11,1050,N20,VIIRS,n,2,302.44,19.51,D,0
37.65506,21.82966,342.82,0.61,0.53,2021-08-11,1050,N20,VIIRS,n,2,303.17,14.42,D,0
37.65916,21.88024,335.47,0.61,0.53,2021-08-11,1050,N20,VIIRS,n,2,303.65,8.45,D,0
37.66083,21.88714,341.17,0.6,0.53,2021-08-11,1050,N20,VIIRS,n,2,301.21,5.45,D,0
37.66191,21.80647,330.34,0.61,0.53,2021-08-11,1050,N20,VIIRS,l,2,300.68,5.99,D,0
37.66364,21.88479,348.53,0.6,0.53,2021-08-11,1050,N20,VIIRS,n,2,303.63,18.88,D,0
37.66366,21.81367,355.76,0.61,0.53,2021-08-11,1050,N20,VIIRS,n,2,303.7,25.62,D,0
37.66551,21.8852,343.03,0.6,0.53,2021-08-11,1050,N20,VIIRS,n,2,302.92,7.19,D,0
37.66611,21.81167,354.51,0.61,0.53,2021-08-11,1050,N20,VIIRS,n,2,304.67,36.88,D,0
37.66838,21.81182,353.62,0.61,0.53,2021-08-11,1050,N20,VIIRS,n,2,301.14,10.43,D,0
37.67009,21.89002,339.89,0.6,0.53,2021-08-11,1050,N20,VIIRS,n,2,300.88,5.56,D,0
37.67194,21.8905,340.17,0.6,0.53,2021-08-11,1050,N20,VIIRS,n,2,300.87,7.19,D,0
38.74281,26.94935,333.66,0.49,0.4,2021-08-11,1050,N20,VIIRS,l,2,308.35,2.86,D,2
37.66175,21.80954,332.71,0.6,0.71,2021-08-11,1230,N20,VIIRS,n,2,296.06,10.38,D,0
37.66298,21.80792,334.34,0.6,0.71,2021-08-11,1230,N20,VIIRS,n,2,296.1,5.71,D,0
37.66315,21.81417,333.16,0.6,0.71,2021-08-11,1230,N20,VIIRS,n,2,297.23,9.5,D,0
37.66335,21.82104,335.17,0.6,0.71,2021-08-11,1230,N20,VIIRS,n,2,296.15,9.5,D,0
37.66354,21.82802,331.02,0.6,0.71,2021-08-11,1230,N20,VIIRS,n,2,295.8,7.34,D,0
37.66843,21.81511,353.66,0.6,0.71,2021-08-11,1230,N20,VIIRS,n,2,298.24,15.99,D,0
37.66857,21.82109,348.34,0.6,0.71,2021-08-11,1230,N20,VIIRS,n,2,296.56,15.99,D,0
37.66872,21.82782,350.07,0.6,0.71,2021-08-11,1230,N20,VIIRS,n,2,296.78,17.46,D,0
37.66986,21.81917,367,0.6,0.71,2021-08-11,1230,N20,VIIRS,h,2,297.25,9.5,D,0
37.67004,21.82554,342.02,0.6,0.71,2021-08-11,1230,N20,VIIRS,n,2,296.21,7.34,D,0
37.67025,21.83327,340.39,0.6,0.71,2021-08-11,1230,N20,VIIRS,n,2,295.03,7.34,D,0
37.67201,21.89697,333.1,0.61,0.71,2021-08-11,1230,N20,VIIRS,n,2,293.71,5.7,D,0
37.67684,21.89722,338.24,0.61,0.71,2021-08-11,1230,N20,VIIRS,n,2,294.42,9.96,D,0
37.67873,21.90193,335.82,0.61,0.71,2021-08-11,1230,N20,VIIRS,n,2,293.05,6.52,D,0
40.15232,19.86576,330.52,0.49,0.65,2021-08-11,1231,N20,VIIRS,n,2,299.81,5.27,D,0
40.26177,19.83155,340.16,0.49,0.65,2021-08-11,1231,N20,VIIRS,n,2,304.62,6.58,D,0
41.01982,28.55382,312.99,0.42,0.61,2021-08-11,2308,N20,VIIRS,n,2,291.53,1.42,N,2
41.41065,27.37894,302.64,0.49,0.65,2021-08-11,2308,N20,VIIRS,n,2,288.4,0.8,N,0
