latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
41.4441,21.9425,311.8,1.1,1,2021-08-21,27,Aqua,MODIS,83,6.03,290.3,12.9,N,2
38.0185,24.4643,303.6,3.7,1.8,2021-08-22,110,Aqua,MODIS,56,6.03,293,36.8,N,0
39.8526,20.0783,328.2,1.8,1.3,2021-08-22,1215,Aqua,MODIS,80,6.03,304.5,38.1,D,0
38.0754,24.3281,341.6,1.1,1,2021-08-23,15,Aqua,MODIS,100,6.03,295.6,50.9,N,0
38.077,24.3157,341,1.1,1,2021-08-23,15,Aqua,MODIS,100,6.03,296.1,49.7,N,0
38.0846,24.3304,320.1,1.1,1,2021-08-23,15,Aqua,MODIS,100,6.03,294.9,19.3,N,0
38.0862,24.3182,322.8,1.1,1,2021-08-23,15,Aqua,MODIS,100,6.03,295.3,22.2,N,0
38.4462,23.5551,319,1.4,1.2,2021-08-23,936,Terra,MODIS,44,6.03,303.3,10.8,D,0
40.3081,19.8909,322,1,1,2021-08-23,936,Terra,MODIS,53,6.03,308.4,8.1,D,0
40.3099,19.8791,334.3,1,1,2021-08-23,936,Terra,MODIS,84,6.03,309.8,23.9,D,0
41.1871,19.637,318.5,1,1,2021-08-23,936,Terra,MODIS,64,6.03,305.2,5.7,D,0
41.4412,21.9393,328.7,1.1,1,2021-08-23,936,Terra,MODIS,80,6.03,308.7,16,D,2
38.1652,23.3864,327.7,1.4,1.2,2021-08-23,937,Terra,MODIS,69,6.03,305.4,23.8,D,0
38.1681,23.3711,377.1,1.4,1.2,2021-08-23,937,Terra,MODIS,100,6.03,306.4,206.4,D,0
38.1696,23.4201,319.9,1.4,1.2,2021-08-23,937,Terra,MODIS,39,6.03,306.7,12.6,D,0
38.171,23.3556,352.3,1.4,1.2,2021-08-23,937,Terra,MODIS,96,6.03,304.3,91.6,D,0
38.1754,23.3893,345.2,1.4,1.2,2021-08-23,937,Terra,MODIS,92,6.03,308.5,68.2,D,0
38.1783,23.3735,458.4,1.4,1.2,2021-08-23,937,Terra,MODIS,100,6.03,336.9,1281.4,D,0
38.1813,23.3574,445.6,1.4,1.2,2021-08-23,937,Terra,MODIS,100,6.03,327.5,1015.2,D,0
38.1843,23.3414,318,1.4,1.2,2021-08-23,937,Terra,MODIS,51,6.03,301.1,12.8,D,0
38.1679,23.3692,337.2,1.3,1.1,2021-08-23,1119,Aqua,MODIS,86,6.03,312.3,37.1,D,0
38.1739,23.3465,340.1,1.3,1.1,2021-08-23,1119,Aqua,MODIS,69,6.03,308.7,46.1,D,0
38.1765,23.3609,353.6,1.3,1.1,2021-08-23,1119,Aqua,MODIS,96,6.03,314.3,85.6,D,0
38.184,23.3449,327.2,1.3,1.1,2021-08-23,1119,Aqua,MODIS,49,6.03,302.8,22.4,D,0
39.6335,26.8608,327.3,1,1,2021-08-23,1119,Aqua,MODIS,77,6.03,299.9,19.3,D,0
39.6352,26.8722,336.8,1,1,2021-08-23,1119,Aqua,MODIS,86,6.03,303.3,31.6,D,0
