latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
38.74188,26.94313,305.43,0.73,0.76,2021-08-16,114,N20,VIIRS,n,2,292.43,2.54,N,2
38.75466,26.95066,305.26,0.73,0.76,2021-08-16,114,N20,VIIRS,n,2,291.96,0.93,N,2
39.25895,27.72921,307.73,0.77,0.78,2021-08-16,114,N20,VIIRS,n,2,288.09,2.17,N,0
39.26031,27.73265,308.2,0.78,0.78,2021-08-16,114,N20,VIIRS,n,2,288.52,1.61,N,0
39.35633,22.98362,309.63,0.45,0.63,2021-08-16,114,N20,VIIRS,n,2,292.15,1.9,N,2
40.28918,19.76992,304.81,0.58,0.52,2021-08-16,114,N20,VIIRS,n,2,291.07,1.68,N,0
40.40205,20.05261,301.7,0.59,0.53,2021-08-16,114,N20,VIIRS,n,2,291.42,1.15,N,0
40.44425,27.1427,303.24,0.66,0.73,2021-08-16,114,N20,VIIRS,n,2,292.32,1.38,N,2
41.02141,28.55631,304.32,0.74,0.76,2021-08-16,114,N20,VIIRS,n,2,290.74,2.46,N,2
41.43785,21.94339,309.74,0.35,0.56,2021-08-16,114,N20,VIIRS,n,2,292.38,0.78,N,2
41.44106,21.94407,311.6,0.35,0.56,2021-08-16,114,N20,VIIRS,n,2,291.92,1.61,N,2
41.44207,21.94025,300.94,0.35,0.56,2021-08-16,114,N20,VIIRS,n,2,290.87,1.61,N,2
41.44307,21.93648,324.99,0.35,0.56,2021-08-16,114,N20,VIIRS,n,2,289.61,2.41,N,2
41.44487,21.93796,354.05,0.35,0.56,2021-08-16,114,N20,VIIRS,n,2,293.39,5.87,N,2
41.44703,21.94241,306.97,0.35,0.56,2021-08-16,114,N20,VIIRS,n,2,290.88,1.61,N,2
41.44804,21.93861,324.93,0.35,0.56,2021-08-16,114,N20,VIIRS,n,2,289.21,2.41,N,2
38.37313,24.06004,304.19,0.54,0.68,2021-08-16,115,N20,VIIRS,n,2,294.06,1.55,N,2
37.25021,22.0061,334.32,0.5,0.49,2021-08-16,1056,N20,VIIRS,n,2,306.47,1.55,D,0
37.72274,24.00835,336.88,0.39,0.44,2021-08-16,1056,N20,VIIRS,n,2,303.55,68.47,D,0
37.72486,23.99848,342.16,0.39,0.44,2021-08-16,1056,N20,VIIRS,n,2,308.9,32.66,D,0
37.72578,24.00289,367,0.39,0.44,2021-08-16,1056,N20,VIIRS,h,2,355.72,126.54,D,0
37.7267,24.00724,354.02,0.39,0.44,2021-08-16,1056,N20,VIIRS,n,2,327.26,126.54,D,0
37.72762,24.01163,367,0.39,0.44,2021-08-16,1056,N20,VIIRS,h,2,307.39,132.86,D,0
37.72972,24.00173,367,0.39,0.44,2021-08-16,1056,N20,VIIRS,h,2,346.13,126.54,D,0
37.73064,24.00611,367,0.39,0.44,2021-08-16,1056,N20,VIIRS,h,2,344.92,126.54,D,0
37.73156,24.01046,367,0.39,0.44,2021-08-16,1056,N20,VIIRS,l,2,353.64,132.86,D,0
37.73244,24.01466,367,0.39,0.44,2021-08-16,1056,N20,VIIRS,h,2,358.96,132.86,D,0
37.73328,24.01866,342.25,0.39,0.44,2021-08-16,1056,N20,VIIRS,n,2,305.91,20.85,D,0
37.73364,24.00046,312.86,0.39,0.44,2021-08-16,1056,N20,VIIRS,l,2,320.13,63.49,D,0
37.73458,24.00493,367,0.39,0.44,2021-08-16,1056,N20,VIIRS,l,2,341.56,63.49,D,0
37.7355,24.0093,355.06,0.39,0.44,2021-08-16,1056,N20,VIIRS,n,2,323.16,40.19,D,0
37.73637,24.01348,367,0.39,0.44,2021-08-16,1056,N20,VIIRS,h,2,355.82,40.19,D,0
37.73721,24.01744,367,0.39,0.44,2021-08-16,1056,N20,VIIRS,l,2,334.52,47.02,D,0
37.73803,24.02138,352.21,0.39,0.44,2021-08-16,1056,N20,VIIRS,n,2,308.28,47.02,D,0
37.73849,24.00363,355.91,0.39,0.44,2021-08-16,1056,N20,VIIRS,n,2,311.68,63.49,D,0
37.73943,24.00809,355.12,0.39,0.44,2021-08-16,1056,N20,VIIRS,n,2,319.14,40.19,D,0
37.74035,24.01245,346.68,0.39,0.44,2021-08-16,1056,N20,VIIRS,n,2,319.5,40.19,D,0
37.74117,24.01642,367,0.39,0.44,2021-08-16,1056,N20,VIIRS,h,2,321.16,47.02,D,0
37.74202,24.02043,367,0.39,0.44,2021-08-16,1056,N20,VIIRS,h,2,332.44,47.02,D,0
37.74285,24.02441,355.88,0.39,0.44,2021-08-16,1056,N20,VIIRS,n,2,315,21.93,D,0
37.74335,24.0068,339.91,0.39,0.44,2021-08-16,1056,N20,VIIRS,n,2,307.54,8.08,D,0
37.7443,24.01135,351.09,0.39,0.44,2021-08-16,1056,N20,VIIRS,n,2,323.25,8.08,D,0
37.74759,24.02706,367,0.39,0.44,2021-08-16,1056,N20,VIIRS,l,2,326.26,34.63,D,0
37.74821,24.01006,345.47,0.39,0.44,2021-08-16,1056,N20,VIIRS,n,2,310.8,8.08,D,0
37.74911,24.0144,345.7,0.39,0.44,2021-08-16,1056,N20,VIIRS,n,2,315.2,12.52,D,0
37.75159,24.02621,343.07,0.39,0.44,2021-08-16,1056,N20,VIIRS,l,2,315.06,34.63,D,0
38.141,23.31048,353.27,0.41,0.45,2021-08-16,1056,N20,VIIRS,n,2,301.2,227.71,D,0
38.14392,23.30404,345.19,0.41,0.45,2021-08-16,1056,N20,VIIRS,n,2,306.06,227.71,D,0
38.14489,23.30854,367,0.41,0.45,2021-08-16,1056,N20,VIIRS,l,2,370.63,227.71,D,0
