latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
38.42726,27.2184,315.31,0.45,0.39,2021-08-11,18,N,VIIRS,n,2,297.02,2.65,N,2
38.72518,26.94187,308.15,0.44,0.38,2021-08-11,18,N,VIIRS,n,2,294.43,1.27,N,0
38.73185,26.96503,306.86,0.44,0.38,2021-08-11,18,N,VIIRS,n,2,294.93,1.69,N,2
38.73462,26.9502,315.96,0.44,0.38,2021-08-11,18,N,VIIRS,n,2,295.46,2.06,N,2
38.73555,26.94526,313.1,0.44,0.38,2021-08-11,18,N,VIIRS,n,2,297.67,2.09,N,2
38.73902,26.94632,313.49,0.44,0.38,2021-08-11,18,N,VIIRS,n,2,297.84,2.09,N,2
38.74155,26.95238,308.11,0.44,0.38,2021-08-11,18,N,VIIRS,n,2,295.73,1.31,N,2
38.74249,26.94738,307.37,0.44,0.38,2021-08-11,18,N,VIIRS,n,2,296.51,1.95,N,2
38.75288,26.95061,316.7,0.44,0.38,2021-08-11,18,N,VIIRS,n,2,296.05,2.08,N,2
38.95509,23.2116,355.77,0.38,0.36,2021-08-11,18,N,VIIRS,n,2,300.46,8.24,N,0
38.95838,23.21242,307.36,0.38,0.36,2021-08-11,18,N,VIIRS,n,2,294.17,8.24,N,0
39.02294,23.32263,338.07,0.38,0.36,2021-08-11,18,N,VIIRS,n,2,297.79,6.14,N,0
39.02362,23.31824,308.59,0.38,0.36,2021-08-11,18,N,VIIRS,n,2,296.32,2.27,N,0
39.02623,23.32346,352.05,0.38,0.36,2021-08-11,18,N,VIIRS,n,2,301.26,5.51,N,0
39.02691,23.31907,344.64,0.38,0.36,2021-08-11,18,N,VIIRS,n,2,301.99,17.77,N,0
39.02952,23.32429,311.38,0.38,0.36,2021-08-11,18,N,VIIRS,n,2,296.15,5.51,N,0
39.0302,23.31989,350.78,0.38,0.36,2021-08-11,18,N,VIIRS,n,2,315.87,17.77,N,0
39.03088,23.31549,331.78,0.38,0.36,2021-08-11,18,N,VIIRS,n,2,299.7,17.77,N,0
39.03349,23.32071,355.52,0.38,0.36,2021-08-11,18,N,VIIRS,n,2,311.61,10.42,N,0
39.03417,23.31631,367,0.38,0.36,2021-08-11,18,N,VIIRS,h,2,307.84,10.42,N,0
39.03485,23.3119,335.44,0.38,0.36,2021-08-11,18,N,VIIRS,n,2,298.97,7.13,N,0
39.03632,23.28016,310.01,0.38,0.36,2021-08-11,18,N,VIIRS,n,2,297.57,2.11,N,0
39.03679,23.32153,314.83,0.38,0.36,2021-08-11,18,N,VIIRS,n,2,297.28,10.42,N,0
39.03746,23.31712,321.21,0.38,0.36,2021-08-11,18,N,VIIRS,n,2,297.35,10.42,N,0
39.25942,27.736,314.89,0.46,0.39,2021-08-11,18,N,VIIRS,n,2,292.42,1.65,N,0
39.35526,22.9858,312.67,0.39,0.36,2021-08-11,18,N,VIIRS,n,2,297.11,1.62,N,2
40.14899,19.87014,310.12,0.46,0.39,2021-08-11,18,N,VIIRS,n,2,294.42,2.04,N,0
40.15036,19.85872,305.86,0.46,0.39,2021-08-11,18,N,VIIRS,n,2,293.8,3.06,N,0
40.15247,19.87201,320.93,0.46,0.39,2021-08-11,18,N,VIIRS,n,2,295.39,2.04,N,0
40.15387,19.86041,327.29,0.46,0.39,2021-08-11,18,N,VIIRS,n,2,294.38,3.06,N,0
40.25733,19.51162,312.72,0.48,0.4,2021-08-11,18,N,VIIRS,n,2,292.79,1.95,N,0
40.26112,19.51128,340.1,0.48,0.4,2021-08-11,18,N,VIIRS,n,2,295.69,5.71,N,0
40.34671,27.97482,306.81,0.45,0.39,2021-08-11,18,N,VIIRS,n,2,291.94,0.91,N,0
40.44439,27.14047,321.02,0.42,0.38,2021-08-11,18,N,VIIRS,n,2,294.27,2.84,N,2
41.02052,28.55818,309.89,0.46,0.39,2021-08-11,18,N,VIIRS,n,2,292.96,1.39,N,2
41.02159,28.55273,313.27,0.46,0.39,2021-08-11,18,N,VIIRS,n,2,291.96,1.39,N,2
41.4186,21.93742,325.07,0.41,0.37,2021-08-11,18,N,VIIRS,n,2,287.38,3.47,N,2
41.43909,21.94213,310.22,0.41,0.37,2021-08-11,18,N,VIIRS,n,2,293.93,1.54,N,2
41.44508,21.94002,340.35,0.41,0.37,2021-08-11,18,N,VIIRS,n,2,298.28,7.84,N,2
41.4459,21.94381,318.99,0.41,0.37,2021-08-11,18,N,VIIRS,n,2,292.19,4.22,N,2
41.44658,21.93885,330.61,0.41,0.37,2021-08-11,18,N,VIIRS,n,2,295.21,4.22,N,2
37.34156,22.05822,308.51,0.39,0.36,2021-08-11,19,N,VIIRS,n,2,292.35,0.87,N,0
37.3422,22.05389,321.96,0.39,0.36,2021-08-11,19,N,VIIRS,n,2,295.21,2.31,N,0
37.34284,22.04953,324.19,0.39,0.36,2021-08-11,19,N,VIIRS,n,2,295.96,2.31,N,0
37.34423,22.06334,309.14,0.39,0.36,2021-08-11,19,N,VIIRS,n,2,292.66,1.46,N,0
37.34487,22.05902,324.02,0.39,0.36,2021-08-11,19,N,VIIRS,n,2,295.98,1.46,N,0
37.34755,22.06412,310.56,0.39,0.36,2021-08-11,19,N,VIIRS,n,2,294.44,1.46,N,0
37.35086,22.06488,304.07,0.39,0.36,2021-08-11,19,N,VIIRS,n,2,293.91,1.39,N,0
37.62846,21.88389,305.51,0.39,0.36,2021-08-11,19,N,VIIRS,n,2,293.91,0.82,N,0
37.63687,21.8262,309.84,0.39,0.36,2021-08-11,19,N,VIIRS,n,2,295.5,1.86,N,0
