latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
41.15609,19.66036,309.02,0.33,0.55,2021-08-21,120,N20,VIIRS,n,2,288.78,0.57,N,0
41.43609,21.94357,297.61,0.41,0.61,2021-08-21,120,N20,VIIRS,n,2,286.78,2.13,N,2
41.44269,21.94152,300.28,0.41,0.61,2021-08-21,120,N20,VIIRS,n,2,287.74,2.13,N,2
41.44397,21.93705,336.81,0.41,0.61,2021-08-21,120,N20,VIIRS,n,2,287.84,4.52,N,2
41.49993,19.74275,308.92,0.32,0.55,2021-08-21,120,N20,VIIRS,n,2,290.46,0.49,N,0
38.37325,24.05885,300.54,0.65,0.73,2021-08-21,121,N20,VIIRS,n,2,288.06,0.9,N,2
39.04731,20.72546,306.56,0.42,0.61,2021-08-21,121,N20,VIIRS,n,2,290.88,0.65,N,0
39.35737,22.98216,303.8,0.54,0.68,2021-08-21,121,N20,VIIRS,n,2,287.4,1.18,N,2
39.3578,22.98167,300.67,0.54,0.68,2021-08-21,121,N20,VIIRS,n,2,286.88,1.6,N,0
40.28087,19.77076,297.69,0.35,0.57,2021-08-21,121,N20,VIIRS,n,2,286.48,0.25,N,0
40.28301,19.77588,299.47,0.35,0.57,2021-08-21,121,N20,VIIRS,n,2,286.76,0.26,N,0
41.11533,19.58952,298.68,0.32,0.55,2021-08-21,121,N20,VIIRS,n,2,288.01,0.27,N,0
37.82778,27.78765,336.17,0.39,0.36,2021-08-21,1102,N20,VIIRS,n,2,308.95,2.68,D,0
38.31195,23.64991,335.7,0.5,0.41,2021-08-21,1102,N20,VIIRS,n,2,305.69,2.92,D,0
38.74072,26.95374,342.47,0.39,0.37,2021-08-21,1102,N20,VIIRS,l,2,315.49,3.2,D,2
40.19972,19.84858,330.18,0.46,0.47,2021-08-21,1103,N20,VIIRS,n,2,301.84,2.44,D,0
40.27518,19.7711,336.68,0.46,0.47,2021-08-21,1103,N20,VIIRS,n,2,303.07,7.86,D,0
40.27811,19.77287,330.15,0.46,0.47,2021-08-21,1103,N20,VIIRS,l,2,301.43,5.11,D,0
