latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
39.86323,26.24301,306.39,0.36,0.58,2021-08-01,55,N20,VIIRS,n,2,294.93,0.76,N,0
39.86822,26.24542,305.03,0.36,0.58,2021-08-01,55,N20,VIIRS,n,2,294.39,0.76,N,2
41.02087,28.5534,316.56,0.44,0.62,2021-08-01,55,N20,VIIRS,n,2,291.1,2.03,N,2
41.42168,21.93435,327.66,0.41,0.45,2021-08-01,55,N20,VIIRS,n,2,295.22,3.22,N,2
41.43644,21.94534,305.56,0.41,0.45,2021-08-01,55,N20,VIIRS,n,2,294.49,1.14,N,2
41.44145,21.94222,306.22,0.41,0.45,2021-08-01,55,N20,VIIRS,n,2,295.05,3.21,N,2
41.44247,21.93763,307.55,0.41,0.45,2021-08-01,55,N20,VIIRS,n,2,294.1,5.01,N,2
41.44645,21.93911,346.64,0.41,0.45,2021-08-01,55,N20,VIIRS,n,2,297.85,5.01,N,2
36.72192,28.2385,349.03,0.56,0.69,2021-08-01,56,N20,VIIRS,n,2,300.92,15.7,N,0
36.72475,28.22885,313.76,0.56,0.69,2021-08-01,56,N20,VIIRS,n,2,299.24,11.64,N,0
36.72626,28.23887,352.64,0.56,0.69,2021-08-01,56,N20,VIIRS,n,2,305.79,20.55,N,0
36.72902,28.23732,355.38,0.56,0.69,2021-08-01,56,N20,VIIRS,n,2,306.16,15.7,N,0
36.72903,28.22964,367,0.56,0.69,2021-08-01,56,N20,VIIRS,h,2,301.76,20.55,N,0
36.73145,28.22901,337.09,0.56,0.69,2021-08-01,56,N20,VIIRS,n,2,299.72,11.64,N,0
36.73477,28.21044,315.73,0.56,0.69,2021-08-01,56,N20,VIIRS,n,2,297.6,5.01,N,0
36.7369,28.21035,310.32,0.56,0.69,2021-08-01,56,N20,VIIRS,n,2,297.03,3.92,N,0
36.73921,28.2182,318.34,0.56,0.69,2021-08-01,56,N20,VIIRS,n,2,298.1,11.4,N,0
36.73957,28.24741,317.58,0.56,0.69,2021-08-01,56,N20,VIIRS,n,2,298.45,2.32,N,0
36.7403,28.2372,310.19,0.56,0.69,2021-08-01,56,N20,VIIRS,n,2,297.61,3.95,N,0
36.74147,28.2178,311.21,0.56,0.69,2021-08-01,56,N20,VIIRS,n,2,296.35,1.99,N,0
36.74265,28.23684,312.62,0.56,0.69,2021-08-01,56,N20,VIIRS,n,2,297.87,2.32,N,0
36.74349,28.24921,314.63,0.56,0.69,2021-08-01,56,N20,VIIRS,n,2,298.38,5.74,N,0
