latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
40.44509,27.14034,305.14,0.56,0.43,2021-08-21,30,N,VIIRS,n,2,294.11,1.5,N,2
40.44643,27.13402,308.14,0.56,0.43,2021-08-21,30,N,VIIRS,n,2,293.94,1.5,N,3
40.45023,27.1356,307.4,0.56,0.43,2021-08-21,30,N,VIIRS,n,2,294.29,2.64,N,3
41.01889,28.55325,313.58,0.42,0.45,2021-08-21,30,N,VIIRS,n,2,290.46,1.05,N,2
41.02292,28.5549,303.42,0.42,0.45,2021-08-21,30,N,VIIRS,n,2,291.01,1.05,N,2
41.43801,21.94301,309.58,0.39,0.36,2021-08-21,30,N,VIIRS,n,2,291.41,1.15,N,2
41.44204,21.93939,315.58,0.39,0.36,2021-08-21,30,N,VIIRS,n,2,290.57,1.15,N,2
41.44532,21.94033,345.5,0.39,0.36,2021-08-21,30,N,VIIRS,n,2,295.7,7.13,N,2
38.12921,23.52368,314.87,0.44,0.38,2021-08-21,31,N,VIIRS,n,2,292.64,1.92,N,2
38.37473,24.06017,307.91,0.45,0.39,2021-08-21,31,N,VIIRS,n,2,292.84,1.13,N,2
38.42744,27.21605,314.55,0.41,0.45,2021-08-21,31,N,VIIRS,n,2,296.11,1.38,N,2
38.73333,26.96354,308.86,0.39,0.44,2021-08-21,31,N,VIIRS,n,2,292.96,0.76,N,2
38.73615,26.95037,305.88,0.39,0.44,2021-08-21,31,N,VIIRS,n,2,293.93,0.71,N,2
38.7371,26.94598,319.74,0.39,0.44,2021-08-21,31,N,VIIRS,n,2,298.54,3.37,N,2
38.74009,26.95185,307,0.39,0.44,2021-08-21,31,N,VIIRS,n,2,293.56,0.71,N,2
38.75286,26.95169,316.78,0.39,0.44,2021-08-21,31,N,VIIRS,n,2,294.7,1.73,N,2
38.75372,26.95051,318.99,0.39,0.44,2021-08-21,31,N,VIIRS,n,2,294.76,1.56,N,2
39.04966,20.72609,330.6,0.38,0.36,2021-08-21,31,N,VIIRS,n,2,293.9,5.17,N,0
39.25773,27.73649,316.66,0.42,0.45,2021-08-21,31,N,VIIRS,n,2,289.79,1.42,N,0
39.86707,26.244,309.83,0.52,0.42,2021-08-21,31,N,VIIRS,n,2,292.43,2.02,N,2
40.12659,19.7299,309.91,0.39,0.36,2021-08-21,31,N,VIIRS,n,2,295.25,1.48,N,0
40.12989,19.73076,314.1,0.39,0.36,2021-08-21,31,N,VIIRS,n,2,294.3,1.21,N,0
40.13321,19.73161,310.42,0.39,0.36,2021-08-21,31,N,VIIRS,n,2,294.97,1.21,N,0
40.27678,19.77099,298.86,0.39,0.36,2021-08-21,31,N,VIIRS,n,2,286.25,0.34,N,0
40.27857,19.77374,310.82,0.39,0.36,2021-08-21,31,N,VIIRS,n,2,287.22,0.6,N,0
40.27924,19.76922,306.91,0.39,0.36,2021-08-21,31,N,VIIRS,n,2,286.9,0.6,N,0
40.28124,19.77881,305.16,0.39,0.36,2021-08-21,31,N,VIIRS,n,2,289.16,0.53,N,0
40.28189,19.7745,302.19,0.39,0.36,2021-08-21,31,N,VIIRS,n,2,287.93,0.6,N,0
40.28254,19.77007,298.91,0.39,0.36,2021-08-21,31,N,VIIRS,n,2,286.38,0.6,N,0
40.28521,19.77522,315.14,0.39,0.36,2021-08-21,31,N,VIIRS,n,2,289.61,0.81,N,0
41.15637,19.66414,305.14,0.39,0.36,2021-08-21,31,N,VIIRS,n,2,290.16,0.66,N,0
40.27761,19.77605,337.78,0.48,0.4,2021-08-21,1153,N,VIIRS,n,2,301.23,3.52,D,0
40.97961,19.60437,337.13,0.48,0.4,2021-08-21,1154,N,VIIRS,l,2,307.58,3.21,D,0
41.48398,19.65993,343.53,0.48,0.4,2021-08-21,1154,N,VIIRS,n,2,302.46,6.72,D,0
41.02155,28.55752,313.5,0.42,0.37,2021-08-22,11,N,VIIRS,n,2,290.51,1.11,N,2
41.02982,28.00135,314.54,0.4,0.37,2021-08-22,11,N,VIIRS,n,2,290.45,1.92,N,0
