latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.3111,22.0328,324.4,2.8,1.6,2021-08-06,110,Aqua,MODIS,100,6.03,293.7,92.2,N,0
37.3133,22.0404,315.7,2.8,1.6,2021-08-06,110,Aqua,MODIS,89,6.03,293.4,56.2,N,0
37.3201,22.0112,307,2.8,1.6,2021-08-06,110,Aqua,MODIS,21,6.03,292.2,26.9,N,0
37.3271,22.0451,305.1,2.8,1.6,2021-08-06,110,Aqua,MODIS,3,6.03,292.2,23.3,N,0
37.6959,21.489,308.7,2.5,1.5,2021-08-06,110,Aqua,MODIS,62,6.03,293.6,30.4,N,0
37.7018,21.4864,314.3,2.5,1.5,2021-08-06,110,Aqua,MODIS,85,6.03,293.8,44.8,N,0
37.7091,21.494,319.1,2.5,1.5,2021-08-06,110,Aqua,MODIS,97,6.03,294,62.3,N,0
37.7149,21.4918,307.5,2.5,1.5,2021-08-06,110,Aqua,MODIS,46,6.03,293.7,26.7,N,0
38.1462,23.8166,307.9,3.4,1.7,2021-08-06,110,Aqua,MODIS,40,6.03,293.5,37.4,N,0
38.1518,23.8602,316.8,3.4,1.7,2021-08-06,110,Aqua,MODIS,94,6.03,295.5,69.7,N,2
38.156,23.8273,313.6,3.4,1.7,2021-08-06,110,Aqua,MODIS,62,6.03,294.8,55.1,N,0
38.1609,23.8728,317.8,3.4,1.7,2021-08-06,110,Aqua,MODIS,91,6.03,295.8,72.1,N,0
38.1615,23.8211,311.2,3.4,1.7,2021-08-06,110,Aqua,MODIS,40,6.03,294.3,46.7,N,0
38.1663,23.8678,326,3.4,1.7,2021-08-06,110,Aqua,MODIS,100,6.03,295.6,122.7,N,0
38.1709,23.8329,315.7,3.4,1.7,2021-08-06,110,Aqua,MODIS,87,6.03,292.9,61.5,N,0
38.1763,23.8273,315.7,3.4,1.7,2021-08-06,110,Aqua,MODIS,80,6.03,293.2,64,N,0
38.1809,23.7933,319,3.4,1.7,2021-08-06,110,Aqua,MODIS,81,6.03,295,82.7,N,0
38.1851,23.8418,335.2,3.4,1.7,2021-08-06,110,Aqua,MODIS,100,6.03,294.5,188.6,N,0
38.1859,23.788,317.7,3.4,1.7,2021-08-06,110,Aqua,MODIS,81,6.03,294.6,79.3,N,0
38.1905,23.8361,363,3.4,1.7,2021-08-06,110,Aqua,MODIS,100,6.03,296.1,533.9,N,0
38.1905,23.8854,308.3,3.4,1.7,2021-08-06,110,Aqua,MODIS,54,6.03,295.1,33.4,N,0
38.1952,23.8015,337.5,3.4,1.7,2021-08-06,110,Aqua,MODIS,100,6.03,291.2,210.9,N,0
38.1961,23.8803,313.3,3.4,1.7,2021-08-06,110,Aqua,MODIS,37,6.03,295.7,50.3,N,0
38.2,23.8476,387,3.4,1.7,2021-08-06,110,Aqua,MODIS,100,6.03,300.8,1058.4,N,0
38.2005,23.7952,344.1,3.4,1.7,2021-08-06,110,Aqua,MODIS,100,6.03,289.8,279.2,N,0
38.2056,23.8413,371.2,3.4,1.7,2021-08-06,110,Aqua,MODIS,100,6.03,299,681.2,N,0
38.2102,23.8066,371.4,3.4,1.7,2021-08-06,110,Aqua,MODIS,100,6.03,292.2,686.3,N,0
38.215,23.853,310.3,3.4,1.7,2021-08-06,110,Aqua,MODIS,79,6.03,295.8,42.2,N,0
38.2153,23.8011,333.3,3.4,1.7,2021-08-06,110,Aqua,MODIS,100,6.03,290.7,174.5,N,0
38.3641,22.1799,309.8,2.7,1.6,2021-08-06,110,Aqua,MODIS,65,6.03,295.2,27.6,N,0
38.3672,22.1916,392.2,2.7,1.6,2021-08-06,110,Aqua,MODIS,100,6.03,300.5,851.4,N,0
38.3698,22.2191,328.9,2.7,1.6,2021-08-06,110,Aqua,MODIS,100,6.03,299.1,98.6,N,0
38.3734,22.2276,315.7,2.7,1.6,2021-08-06,110,Aqua,MODIS,44,6.03,297.7,41.7,N,0
38.3752,22.1579,356.6,2.6,1.6,2021-08-06,110,Aqua,MODIS,100,6.03,296.9,304,N,0
38.3772,22.1866,412.6,2.7,1.6,2021-08-06,110,Aqua,MODIS,100,6.03,305.8,1383.8,N,0
38.3805,22.1975,370.5,2.7,1.6,2021-08-06,110,Aqua,MODIS,100,6.03,301.3,473.7,N,0
